"genre","publisher","developer","critic_score","release_date","total_sales","release_Month"
"Action","Buena Vista","DC Studios",6.5,2006-10-10,2.65,10
"Shooter","Electronic Arts","EA Los Angeles",7.3,2010-10-12,2.64,10
"Sports","2K Sports","Visual Concepts",9.1,2011-10-04,2.64,10
"Racing","Rockstar Games","Angel Studios",NA,2000-10-25,2.63,10
"Sports","2K Sports","Visual Concepts",NA,2018-09-11,2.63,9
"Sports","2K Sports","Visual Concepts",8.9,2012-10-02,2.63,10
"Sports","EA Sports","EA Canada",8.9,2009-10-20,2.62,10
"Sports","Sega","Visual Concepts",NA,2004-07-20,2.62,7
"Sports","EA Sports","EA Tiburon",8.2,2017-08-25,2.62,8
"Platform","Sony Computer Entertainment","SCEE Cambridge",8.8,2009-11-17,2.61,11
"Adventure","Electronic Arts","Eurocom Entertainment Software",NA,2002-11-14,2.61,11
"Adventure","Rockstar Games","Rockstar North",9,2009-10-29,2.6,10
"Action","Sega","Sega",NA,1990-12-31,2.6,12
"Sports","Electronic Arts","EA Canada",8.6,2008-10-14,2.59,10
"Sports","EA Sports","EA Canada",NA,2004-09-28,2.59,9
"Shooter","Ubisoft","Massive Entertainment",NA,2016-03-08,2.59,3
"Action","LucasArts","Traveller's Tales",NA,2007-11-06,2.59,11
"Fighting","THQ","Yuke's",8,2006-11-14,2.58,11
"Misc","Activision","Toys for Bob",NA,2012-10-21,2.58,10
"Sports","EA Sports","EA Tiburon",NA,2007-08-14,2.57,8
"Sports","2K Sports","Visual Concepts",NA,2013-10-11,2.57,10
"Role-Playing","Electronic Arts","BioWare Edmonton",8.5,2009-11-03,2.56,11
"Sports","Sony Computer Entertainment","Camelot Software Planning",NA,1998-05-05,2.56,5
"Sports","EA Sports","EA Canada",9,2015-09-22,2.55,9
"Sports","EA Sports","EA Tiburon",8.5,2008-08-12,2.54,8
"Racing","Acclaim Entertainment","Hitmaker",8.2,2001-05-14,2.52,5
"Action","Square Enix","Crystal Dynamics",8.9,2013-03-05,2.51,3
"Racing","Rockstar Games","Rockstar San Diego",8.3,2008-10-20,2.5,10
"Sports","Konami","Konami",NA,2008-11-11,2.5,11
"Role-Playing","Activision","Raven Software",8.3,2006-10-24,2.5,10
"Action","Rockstar Games","Rockstar North",9.8,2003-10-31,2.49,10
"Fighting","Midway Games","Midway",8.2,2002-11-16,2.49,11
"Misc","Midway Games","JGI Entertainment",2.6,2007-11-27,2.49,11
"Sports","2K Sports","Visual Concepts",NA,2014-10-07,2.49,10
"Action","THQ","Volition Inc.",8.3,2011-11-15,2.48,11
"Action","Eidos Interactive","Core Design Ltd.",NA,1999-11-22,2.48,11
"Sports","EA Sports","EA Tiburon",8.4,2015-08-25,2.47,8
"Misc","MTV Games","Harmonix Music Systems",9.1,2007-11-20,2.47,11
"Action","Ubisoft","Ubisoft Montreal",NA,2017-10-27,2.47,10
"Misc","Sony Computer Entertainment America","4J Studios",NA,2014-11-11,2.47,11
"Racing","Disney Interactive Studios","Black Rock Studio",8.3,2008-09-16,2.47,9
"Adventure","Warner Bros. Interactive","Traveller's Tales",7.9,2010-06-29,2.45,6
"Action","Warner Bros. Interactive","Techland",NA,2015-01-27,2.45,1
"Sports","EA Sports","EA Tiburon",8.1,2016-08-23,2.44,8
"Racing","Sony Computer Entertainment","SingleTrac",8.7,1996-10-31,2.44,10
